"","city","state","median_price_USD"
"1","Indianapolis","IN","650.00"
"2","Malibu","CA","304.00"
"3","Park City","UT","299.00"
"4","Truckee","NV","275.00"
"5","Healdsburg","CA","275.00"
"6","Laguna Beach","CA","268.50"
"7","Incline Village","NV","259.00"
"8","Manhattan Beach","CA","209.00"
"9","Charlotte","NC","200.00"
"10","Sonoma","CA","200.00"
"11","Napa","CA","200.00"
"12","Austin","TX","199.00"
"13","La Jolla","CA","195.00"
"14","Sausalito","CA","190.00"
"15","Hermosa Beach","CA","189.50"
"16","Sunny Isles Beach","FL","180.00"
"17","New York","NY","170.00"
"18","Boston","MA","160.00"
"19","Newport Beach","CA","160.00"
"20","Beverly Hills","CA","160.00"
"21","Venice","CA","155.00"
"22","San Francisco","CA","150.00"
"23","Miami Beach","FL","150.00"
"24","New Orleans","LA","150.00"
"25","Miami","FL","150.00"
"26","Santa Monica","CA","150.00"
"27","Marina Del Rey","CA","150.00"
"28","Louisville","KY","150.00"
"29","Mill Valley","CA","150.00"
"30","Taos","NM","148.50"
"31","Sebastopol","CA","145.00"
"32","San Diego","CA","130.00"
"33","Washington","DC","129.00"
"34","West Hollywood","CA","129.00"
"35","Scottsdale","AZ","129.00"
"36","Cambridge","MA","125.00"
"37","Las Vegas","NV","125.00"
"38","Santa Cruz","CA","125.00"
"39","Charleston","SC","125.00"
"40","San Rafael","CA","125.00"
"41","Naples","FL","125.00"
"42","Anchorage","AK","123.50"
"43","Palo Alto","CA","120.00"
"44","Santa Rosa","CA","120.00"
"45","Brookline","MA","120.00"
"46","Hollywood","FL","115.50"
"47","Davenport","FL","113.00"
"48","Mountain View","CA","113.00"
"49","Colorado Springs","CO","113.00"
"50","Brooklyn","NY","110.00"
"51","Los Angeles","CA","110.00"
"52","Kissimmee","FL","110.00"
"53","Savannah","GA","107.00"
"54","Arlington","VA","106.50"
"55","Paris","RI","105.50"
"56","Honolulu","HI","105.00"
"57","Alexandria","VA","104.50"
"58","Chicago","IL","100.00"
"59","Seattle","WA","100.00"
"60","Philadelphia","PA","100.00"
"61","Berkeley","CA","100.00"
"62","Boulder","CO","100.00"
"63","Houston","TX","100.00"
"64","Fort Lauderdale","FL","100.00"
"65","Long Beach","CA","100.00"
"66","San Jose","CA","100.00"
"67","Somerville","MA","100.00"
"68","Tampa","FL","100.00"
"69","Carlsbad","CA","100.00"
"70","Pasadena","CA"," 99.50"
"71","Queens","NY"," 99.00"
"72","Minneapolis","MN"," 98.00"
"73","Ann Arbor","MI"," 98.00"
"74","Long Island City","NY"," 96.00"
"75","Oakland","CA"," 90.00"
"76","Tucson","AZ"," 90.00"
"77","Glendale","CA"," 90.00"
"78","Salt Lake City","UT"," 89.50"
"79","Atlanta","GA"," 89.00"
"80","Dallas","TX"," 87.00"
"81","Denver","CO"," 86.00"
"82","Phoenix","AZ"," 85.00"
"83","Jersey City","NJ"," 85.00"
"84","Eugene","OR"," 85.00"
"85","Providence","RI"," 85.00"
"86","Madison","WI"," 85.00"
"87","Nashville","TN"," 80.00"
"88","Baltimore","MD"," 80.00"
"89","Pittsburgh","PA"," 80.00"
"90","San Antonio","TX"," 80.00"
"91","Portland","OR"," 79.00"
"92","Orlando","FL"," 75.00"
"93","Bronx","NY"," 75.00"
"94","Albuquerque","NM"," 75.00"
"95","Silver Spring","MD"," 75.00"
"96","New Haven","CT"," 75.00"
"97","Cincinnati","OH"," 70.00"
"98","Sacramento","CA"," 65.00"
"99","Durham","NC"," 60.00"
"100","Raleigh","NC"," 60.00"
